Q,A
Nederland heeft in de eerste helft van een wedstrijd geen enkele doelpoging gedaan voor het eerst sinds juni 2019 en slechts één balcontact in het strafschopgebied van de tegenstander geregistreerd voor de pauze voor het eerst sinds augustus 2017.,0 – The Netherlands have failed to attempt a single shot in a first half of a game for the first time since June 2019 (v Portugal) and recorded just one touch in the opposition box before half-time for the first time since August 2017 (v France). Harmless.
Oliver Baumann is op 34-jarige leeftijd en 131 dagen de op één na oudste debutant in de DFB na de Tweede Wereldoorlog en de oudste keeper die zijn debuut maakt in de DFB-geschiedenis.,"34y, 131d - Aged 34 years and 131 days, Oliver Baumann is the second-oldest DFB debutant (after Matthias Mauritz) in the post-war era and the oldest goalkeeper to make his debut in DFB history. Latecomer."
Met een gemiddelde leeftijd van 24 jaar en 100 dagen heeft het Nederlands elftal hun jongste basiselftal opgesteld sinds mei 2017 en de jongste in een officiële wedstrijd sinds september 2012.,"24 - With an average age of 24 years and 100 days, @OnsOranje have named their youngest starting XI since May 2017 (23y, 324d v Morocco) and the youngest in a competitive match since September 2012 (24y, 59d v Hungary). Verve."
Alleen Matthijs de Ligt en Jetro Willems waren deze eeuw jonger bij hun eerste basisplaats voor het Nederlands elftal dan Jorrel Hato.,"18 - Only Matthijs de Ligt (17 year and 225 days) and Jetro Willems (18 years, 57 days) were younger at their first start for @OnsOranje this century than Jorrel Hato (18 years, 221 days). Opportunity."
"Het Nederlands elftal scoorde voor het eerst sinds 7 september 2005 na het krijgen van een rode kaart, waarbij Virgil van Dijk de oudste speler werd die van het veld werd gestuurd sinds Phillip Cocu in diezelfde wedstrijd.","2005 - @OnsOranje found the net after receiving a red card for just the first time since 7 September 2005, with Virgil van Dijk becoming the oldest player to be sent off (33 years and 95 days) since Phillip Cocu in that exact same match (34 years and 313 days). Extremities."
Davy Klaassen is de eerste Ajax-speler die in tien verschillende Eredivisie-seizoenen scoort voor de club sinds Ronald de Boer en Danny Blind in 1998-99.,10 - Davy Klaassen is the first @AFCAjax player to find the net in ten different @eredivisie campaigns for the club since Ronald de Boer (11) and Danny Blind (10) in 1998-99. Mister.
Voor het eerst in de clubgeschiedenis verzamelde FC Utrecht maar liefst 13 punten uit hun eerste vijf Eredivisie-wedstrijden van het seizoen.,"13 - For the first time in club history, @fcutrecht collected as many as 13 points from their first five @eredivisie games of the season (W4 D1). Uuuuu."
Willem II's Cisse Sandra is de jongste Belg met twee doelpunten in één Eredivisie-wedstrijd sinds Zakaria Bakkali voor PSV in augustus 2013.,20y280d - @WillemII's Cisse Sandra is the youngest Belgian with two goals in a single @eredivisie game (20 years and 280 days) since Zakaria Bakkali for PSV in August 2013 (17 years and 196 days). Decissive.
Sinds het begin van het vorige Eredivisie-seizoen heeft FC Utrecht's Vasilios Barkas meer kaarten ontvangen voor tijdrekken dan enige andere keeper.,"2 - Since the start of last @eredivisie campaign, @fcutrecht's Vasilios Barkas received more in-match cards for time wasting than any other goalkeeper (2). Warned."
Volendam's Henk Veerman is de eerste speler die in zeven opeenvolgende Eerste Divisie uitwedstrijden scoort sinds Jeremy Bokila voor Sparta Rotterdam in oktober 2011-maart 2012.,7 - @fcvolendam's Henk Veerman is the first player to find the net in seven consecutive @1e_Divisie away games since Jeremy Bokila for Sparta Rotterdam in October 2011-March 2012 (7). Skipper.
"Dit is de eerste Oranje-wedstrijd met drie spelers van dezelfde niet-Nederlandse club (Virgil van Dijk, Ryan Gravenberch en Cody Gakpo voor Liverpool) sinds 11 november 2013 (Michel Vorm, Dwight Tiendalli en Jonathan de Guzmán voor Swansea City tegen China).","3 - This is the first @OnsOranje game with three players representing the same non-Dutch club side (Virgil van Dijk, Ryan Gravenberch and Cody Gakpo for Liverpool) since 11 November 2013 (Michel Vorm, Dwight Tiendalli and Jonathan de Guzmán for Swansea City against China). Click."
"Felix Myhre creëerde zes kansen bij zijn internationale debuut tegen Kazachstan, het hoogste aantal ooit voor een Noorse speler in een enkele UEFA Nations League-wedstrijd.","6 - Felix Myhre created six chances on his international debut against Kazakhstan tonight, the highest number ever for a Norway player in a single UEFA Nations League game. Beginnings."
"KRC Genk-aanwinst Djoully Nzoko scoorde vier doelpunten in de Finse Veikkausliiga, twee keer zoveel als enige andere 16-jarige in de statistieken (sinds 2009).","4 - @KRCGenkofficial signing Djoully Nzoko scored four goals in the Finnish Veikkausliiga, twice as many as any other 16-year-old on record (since 2009). Sensation."
"Felice Mazzu leidde al 356 Pro League-wedstrijden, slechts acht minder dan de volgende twee meest ervaren huidige managers in de hoogste divisie samen (364 - Wouter Vrancken 191 en Ivan Leko 173).","356 - Felice Mazzu already managed 356 @ProLeagueBE matches, just eight fewer than the next two most experienced current top-flight managers combined (364 - Wouter Vrancken 191 and Ivan Leko 173). Return."
Davy Klaassen is de eerste Ajax-speler die in tien verschillende Eredivisie-seizoenen voor de club scoorde sinds Ronald de Boer (11) en Danny Blind (10) in 1998-99.,10 - Davy Klaassen is the first @AFCAjax player to find the net in ten different @eredivisie campaigns for the club since Ronald de Boer (11) and Danny Blind (10) in 1998-99. Mister.
Voor het eerst in de clubgeschiedenis verzamelde FC Utrecht maar liefst 13 punten uit hun eerste vijf Eredivisie-wedstrijden van het seizoen (W4 G1).,"13 - For the first time in club history, @fcutrecht collected as many as 13 points from their first five @eredivisie games of the season (W4 D1). Uuuuu."
Willem II's Cisse Sandra is de jongste Belg met twee doelpunten in een enkele Eredivisie-wedstrijd (20 jaar en 280 dagen) sinds Zakaria Bakkali voor PSV in augustus 2013 (17 jaar en 196 dagen).,20y280d - @WillemII's Cisse Sandra is the youngest Belgian with two goals in a single @eredivisie game (20 years and 280 days) since Zakaria Bakkali for PSV in August 2013 (17 years and 196 days). Decissive.
Sinds het begin van het vorige Eredivisie-seizoen kreeg FC Utrecht's Vasilios Barkas meer kaarten tijdens de wedstrijd voor tijdrekken dan enige andere doelman (2).,"2 - Since the start of last @eredivisie campaign, @fcutrecht's Vasilios Barkas received more in-match cards for time wasting than any other goalkeeper (2). Warned."
FC Volendam's Henk Veerman is de eerste speler die scoort in zeven opeenvolgende Eerste Divisie uitwedstrijden sinds Jeremy Bokila voor Sparta Rotterdam in oktober 2011-maart 2012 (7).,7 - @fcvolendam's Henk Veerman is the first player to find the net in seven consecutive @1e_Divisie away games since Jeremy Bokila for Sparta Rotterdam in October 2011-March 2012 (7). Skipper.
"Het is nog vroeg, maar Ryan Gravenberch doet zijn best om Liverpool-fans te laten vergeten dat de club Martín Zubimendi deze zomer misliep. @DavidSegar_ kijkt nader naar de indrukwekkende start van het seizoen van de Nederlandse middenvelder.",It's early days but Ryan Gravenberch is doing his best to make Liverpool fans forget about the club missing out on Martín Zubimendi this summer. @DavidSegar_ takes a closer look at the Dutch midfielder's impressive start to the season. 🇳🇱🔥
Jorthy Mokio is de jongste niet-Nederlandse speler die ooit zijn officiële debuut maakte voor Ajax.,16y182d - Jorthy Mokio is the youngest non-Dutch player to ever make his official debut for @AFCAjax (16 years and 182 days). Future.
Ajax' overwinning met 7-1 op Jagiellonia Bialystok is hun grootste in Europese competitie sinds augustus 2009.,6 - @AFCAjax' 7-1 aggregate win over Jagiellonia Bialystok is their largest in European competition since August 2009 (also 7-1 against Slovan Bratislava). Polished.
"In de eerste helft tegen Jagiellonia was Steven Bergwijn van Ajax de speler met de meeste gecreëerde kansen, de hoogste Expected Goals, de meeste balcontacten in het strafschopgebied van de tegenstander en de meeste succesvolle dribbels.","3 - In the first half against Jagiellonia, @AFCAjax' Steven Bergwijn was the player with the most created chances (3), the most Expected Goals (0.39 xG), the most touches in the opposition box (8) and the most successful dribbles (3). Display."
"Feyenoord speelde 14 eerdere wedstrijden tegen de teams die ze in de komende Champions League groepsfase zullen treffen, waarbij ze slechts één overwinning behaalden.","14 - @Feyenoord played 14 previous matches against the teams they will face in the upcoming @ChampionsLeague League Phase, recording just one win in the process (D4 L9). Difficult. #UCLdraw"
"In Lille, RB Salzburg en Girona zal Feyenoord drie tegenstanders treffen die ze nog nooit eerder in Europese competitie hebben ontmoet.","3 - In Lille, RB Salzburg and Girona, @Feyenoord will face three opponents they never faced before in European competition. Firsts. #UCLdraw"
"PSV speelde tien eerdere wedstrijden tegen de teams die ze in de komende Champions League groepsfase zullen treffen, waarbij ze slechts één overwinning behaalden.","10 - @PSV played ten previous matches against the teams they will face in the upcoming @ChampionsLeague League Phase, recording just one victory in the process (D2 L7). Tough. #UCLdraw"
Chuba Akpom is de vierde speler die 3+ doelpunten scoort voor Ajax in een Europese wedstrijd deze eeuw.,"3 - Chuba Akpom is the fourth player to score 3+ goals for @AFCAjax in a European game this century, after Mohammed Kudus in 2023 (3), Sébastien Haller in 2021 (4) and Luis Suárez in 2009 (4). Hattrick."
